ID,SMILES,act_mean,Type
CHEMBL106713,Oc1nc2nonc2nc1-c1ccc(Oc2ccccc2)cc1,4,1
CHEMBL106716,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc(OC(C)=O)c(OC(C)=O)c4)CC3)c(F)c2)C(=O)O1,4,1
CHEMBL106771,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1,250,0
CHEMBL106797,C[C@H](Cc1cc(C(=O)O)co1)[C@]1(C)CC=C2C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)[C@@H]3CC[C@]21C,12.59982,1
CHEMBL107074,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc(N)cc4)CC3)c(F)c2)C(=O)O1,1,1
CHEMBL107090,Oc1nc2nonc2nc1-c1ccsc1,64,0
CHEMBL107219,CN(CC(=O)O)NC(=O)CC(N)C1CCC(N)CC1,128,0
CHEMBL107237,Cc1c(N2CC[C@@H]3CNC[C@@H]32)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,3.125,1
CHEMBL107379,Cc1c(N2C[C@H]3CCC[C@@H](N)[C@H]3C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,0.1,1
CHEMBL107396,C/C(S)=N/C[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccccc4)CC3)c(F)c2)C(=O)O1,1.25,1
CHEMBL107434,Oc1nc2nonc2nc1-c1cccc(Cl)c1,128,0
CHEMBL107440,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc5c(c4)OCO5)CC3)c(F)c2)C(=O)O1,3,1
CHEMBL107498,CCCCCCCCCC(=O)O,250,0
CHEMBL107538,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc(OS(C)(=O)=O)cc4)CC3)c(F)c2)C(=O)O1,8,1
